,phrase,score
0,post hoc,0.5632770575685
1,chen,0.5113079545269773
2,uk,0.49086902741899674
3,lim,0.47200890181319205
4,appendix,0.45941236649101813
5,section,0.4506139531982585
6,ar,0.44835726439090173
7,pr,0.43876621824592715
8,law,0.43291427866111876
9,asymptotic power,0.4324155428604
10,separable,0.42861448292393517
11,gaussian,0.4281416708632953
12,h2,0.4257774524981706
13,wilson,0.4239288449299342
14,ii,0.42310525018955936
15,sk,0.41835287007335537
16,testing,0.41772545817431717
17,pri,0.41001948259028953
18,mr,0.4074127027106807
19,closed testing,0.4034642575314
20,ti,0.3997780200610289
21,subset,0.3982008387973706
22,global,0.39749818430361067
23,line,0.3966791532701756
24,pmi,0.39502622471553517
25,b0,0.39346426297276765
26,fwer,0.3927160223929406
27,linear,0.39101240496509354
28,t1,0.3907236178021336
29,asymptotic,0.3863714219793188
30,type i error,0.3862243584009
31,p value,0.38117784977999997
32,sc,0.37803986493746117
33,specifically,0.3768505770455717
34,fr,0.3759719103922905
35,hypothesis,0.3738480875160723
36,iv,0.371899503325187
37,theorem,0.37131870537832445
38,closure,0.37114416885641316
39,probability,0.36716890091365506
40,min,0.36694978903951214
41,hr,0.3643002841126956
42,zi,0.36419724245992696
43,qi,0.35954798508159413
44,p values,0.35745084668500005
45,positive,0.3573469367009817
46,figure,0.3559863935315824
47,error,0.3558970299286164
48,lemma,0.35539198815340944
49,fdp,0.354931701026115
50,monotonic,0.3548835538752207
51,max,0.3547788626714254
52,local,0.35418487052782305
53,ji,0.35255954246183535
54,p1,0.3523703361984493
55,calibrated,0.35210084254662316
56,data,0.3515343582362626
57,test,0.3460719818692098
58,model,0.34452870486223997
59,note,0.3421473404687421
60,symmetry,0.3421438571837416
61,pi,0.3409696426075173
62,xi,0.3402499090605734
63,long,0.33812517592945596
64,sign,0.33525818927603884
65,signal,0.333178818064458
66,simultaneous,0.3330368436925889
67,empirical,0.3325529170678693
68,c2,0.3309877055932136
69,level,0.33058543539862245
70,power,0.32986509267048403
71,cr,0.32962592596588725
72,finding,0.32923668617515567
73,function,0.32893631991563965
74,generalized,0.32730009277572847
75,rejection,0.32596035112277766
76,based,0.32564347800374455
77,x2,0.32486689211665337
78,set,0.32463525319473785
79,exp,0.3202470207293575
80,symmetric,0.31801658976135316
81,selection,0.31559320043718236
82,,0.31546269177909714
83,proportion,0.3151349147388391
84,tests,0.3144518699670308
85,global null,0.31428750314399995
86,proof,0.3134817973361405
87,| s |,0.3119635648512
88,computation,0.3114575777256497
89,positively,0.3109544674695351
90,control,0.31067719657904413
91,largest,0.30949190259223885
92,elementary,0.3075557765196457
93,expression,0.30720308547015607
94,calibration,0.3039514283962269
95,independence,0.30093362049607114
96,et.al,0.30092014489891017
97,choice,0.3004484188828533
98,methods,0.30015591364573163
99,monotonicity,0.2998865854494412
100,fact,0.2994011073736334
101,inference,0.29746496581300563
102,number,0.29643023156163933
103,i1,0.2950745879237364
104,log,0.29382468918413995
105,class,0.29323727827391805
106,values,0.29290723280611725
107,reject,0.29269217400058267
108,correlation,0.2920114744790402
109,cost,0.2907948138871812
110,results,0.2904270533141018
111,shortcuts,0.2874060113138808
112,discoveries,0.2873191722199764
113,threshold,0.28717561209579273
114,dependence,0.28714674248742084
115,strong,0.28555454032592287
116,sets,0.28500014971426174
